codigo	descripcion	partida_nombre	sector_nombre	especialidad_nombre	fecha_inicio	duracion_dias
INF-001	CARTEL DE OBRA DE 3.60 X 2.40M. (1)	OBRAS PROVISIONALES, SEGURIDAD Y SALUD EN EL TRABAJO — Arquitectura y terminaciones	ZONA GENERAL	Arquitectura y terminaciones	2026-04-23	2
INF-002	ALQUILER DE LOCAL PARA ALMACEN Y OFICINA (2)	OBRAS PROVISIONALES — Arquitectura y terminaciones	CANCHA PRINCIPAL	Arquitectura y terminaciones	2026-04-25	3
INF-003	SERVICIOS DE BAÑO PORTATIL (INODORO Y LAVADERO) (3)	SEGURIDAD Y SALUD DURANTE LA OBRA — Arquitectura y terminaciones	ZONA NORTE	Arquitectura y terminaciones	2026-04-27	4
INF-004	ELABORACION E IMPLEMENTACION DEL PLAN DE SEGURIDAD (4)	DEMOLICIONES Y REPOSICION DE ESTRUCTURAS EXISTENTES	ZONA SUR	Estructura	2026-04-29	5
INF-005	DEMOLICION DE MURO EXISTENTE (5)	EXPLANACION GENERAL	ACCESOS	Estructura	2026-05-01	6
INF-006	REPOSICION DE CERCO PERIMETRAL (6)	MOVIMIENTO DE TIERRA	VESTUARIOS	Estructura	2026-05-03	7
INF-007	LIMPIEZA DEL TERRENO MANUAL (7)	SERVICIOS HIGIENICOS — Estructura	ESTACIONAMIENTO	Estructura	2026-05-05	1
INF-008	RELLENO CON GRAVA CLASIFICADO (8)	ESTRUCTURAS METALICAS	PERIMETRO	Estructura	2026-05-07	2
INF-009	COMPACTACION DE SUBRASANTE (9)	CUBIERTA Y TECHUMBRE	ZONA GENERAL	Estructura	2026-05-09	3
INF-010	NIVELACION DE TERRENO (10)	INSTALACIONES ELECTRICAS — Estructura	CANCHA PRINCIPAL	Estructura	2026-05-11	4
INF-011	EXCAVACION PARA CIMIENTOS (11)	INSTALACIONES SANITARIAS — Estructura	ZONA NORTE	Estructura	2026-05-14	5
INF-012	HORMIGON DE LIMPIEZA (12)	PISOS Y PAVIMENTOS — Estructura	ZONA SUR	Estructura	2026-05-16	6
